"id_rz_lectura","id_persona","razon_si_lectura"
765,2008,"Placer/entretenimiento"
766,2015,"Placer/entretenimiento"
767,2016,"Placer/entretenimiento"
768,2017,"Placer/entretenimiento"
769,2018,"Placer/entretenimiento"
770,2022,"Placer/entretenimiento"
771,2023,"Placer/entretenimiento"
772,2024,"Placer/entretenimiento"
773,2025,"Placer/entretenimiento"
774,2026,"Placer/entretenimiento"
775,2028,"Placer/entretenimiento"
776,2032,"Placer/entretenimiento"
777,2033,"Placer/entretenimiento"
778,2040,"Placer/entretenimiento"
779,2041,"Placer/entretenimiento"
780,2042,"Placer/entretenimiento"
781,2043,"Placer/entretenimiento"
782,2044,"Placer/entretenimiento"
783,2049,"Placer/entretenimiento"
784,2050,"Placer/entretenimiento"
785,2055,"Placer/entretenimiento"
786,2060,"Placer/entretenimiento"
787,2066,"Placer/entretenimiento"
788,2070,"Placer/entretenimiento"
789,2076,"Placer/entretenimiento"
790,2077,"Placer/entretenimiento"
